index	*ID	set	item	*ItemName	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	diablocloneweight	*eol
Atanea's Wrath	135	Atanea's Flame March	ulg	Bramble Mitts	7	21	32	dred	dred						5	5000	2	ac		45	50	dmg-fire	150	6	18	half-freeze		1	1	mag%		25	25	life		10	10	dex		15	15																													dmg-cold	100	131	252					extra-cold		20	20														0
Atanea's Binding	136	Atanea's Flame March	zhb	War Belt	7	21	45	dred	dred						5	5000	2	ac		50	50	move2		20	20	manasteal		5	5	light		5	5																																					res-all		25	25																						0
Atanea's Fury	137	Atanea's Flame March	amb	Matriarchal Bow	7	21	70	dred	dred						5	5000	2	dmg%		205	205	swing3		40	40	Immolation Arrow		1	1	att		50	50																					dmg-fire		114	377					hit-skill	Meteor	10	15					skilltab	0	2	2																						0
Fang of the Spirit Bear	138	The Disciple	fla	Flail	7	29	19	lblu	lblu						5	5000	2	dru		1	1	dmg%		10	20	fire-min		5	10	fire-max		5	10	mana		50	50																																																										0
Divine Judgment's Mantle	139	Divine Judgment	qui	Quilted Armor	8	1	0	lpur	lpur						5	5000	2	tri-rate		15	25	dual-res2		10	15	skilltab	9	1	2	life		25	25	red-dmg%		10	10																																																										0
Divine Judgment's Grasp	140	Divine Judgment	tgl	Light Gauntlets	7	20	0	lpur	lpur						5	5000	2	swing1		20	20	crush		10	15	dex		10	10																																																																		0
Divine Judgment's Foundation	141	Divine Judgment	vbl	Light Belt	7	3	2	lpur	lpur						5	5000	2	double-stats2		5	10	res-pois-max		5	5	balance1		10	15																																																																		0
Divine Judgment's Path	142	Divine Judgment	tbt	Light Plated Boots	7	19	14	lpur	lpur						5	5000	2	move1		25	25	tri-res3		15	15	skill	107	5	5																																																																		0
Divine Judgment's Edic	143	Divine Judgment	9sc	Rune Scepter	7	31	19	lpur	lpur						5	5000	2	abs-ltng%		5	10	pal		2	2	skill	113	1	3																																																																		0
Divine Judgment's Aegis	144	Divine Judgment	pac	Sacred Rondache	7	70	52	lpur	lpur						5	5000	2	cast1		20	20	block1		25	25	tri-res3		20	45	pal		1	2																																																														0
Cow King's Gaze	145	Cow King's Leathers	amu	Amulet	7	39	25								5	5000		att%		20	20	dmg%		50	50																																																																						0
Cow King's Grasp	146	Cow King's Leathers	mgl	Chain Gloves	7	43	71								5	5000		dmg-norm		40	62	dmg-ltng		50	75	lifesteal		10	10																																																																		0
Cow King's Tail	147	Cow King's Leathers	zlb	Sash	7	36	61								5	5000		ac%		120	120	balance3		30	30	crush		35	35	deadly		15	15	str		15	15																																																										0
Nightshade Strike	127	Dusk Whisper	axf	Hatchet hands	7	10	12	lgry	lgry						5	5000	2	dmg%		120	120	lifesteal		5	5																													dmg-min		15	15																																						0
Duskweaver Bracers	128	Dusk Whisper	mgl	Chain Gloves	7	10	10	lgry	lgry						5	5000	2	swing1		10	10	ac%		75	75	hp		25	35																																	skilltab	18	2	2																														0
Shadowcrest Hood	129	Dusk Whisper	cap	Cap	7	10	5	lgry	lgry						5	5000	2	ass		1	1	ac		15	25	mana		20	30																									red-mag		6	6																																						0
Twilight Leather Tunic	130	Dusk Whisper	stu	Studded Leather Armor	7	10	9	lgry	lgry						5	5000	2	ac		35	50	dex		15	15	str		15	15																																	red-dmg		8	8																														0
Ring of Serenity	131	Elemental Harmony	rin	Ring	5	12	12								5	5000	2	mana		40	50	hp		40	50																																																																						0
Harmony Maul	132	Elemental Harmony	mau	Maul	7	12	18	dyel	dyel						5	5000	2	dmg%		140	200	swing1		15	15																													dmg-cold	75	10	30																																						0
Embrace of Tranquility	133	Elemental Harmony	hla	Hard Leather Armor	7	12	7	dyel	dyel						5	5000	2	ac%		80	120	skilltab	15	1	3																																					regen		3	3					regen-mana		75	75																						0
Spirit Antlers	134	Elemental Harmony	dr3	Antlers	7	12	15	dyel	dyel						5	5000	2	ac		30	40	dru		1	1																																													skill	224	4	4																						0
Bonecarver's Skull	135	Cryptwalker	ne2	Zombie Head	7	11	16	blac	blac						5	5000	2	block		25	30	block1		20	20																													ac%		100	100																																						0
Necrobone Wand	136	Cryptwalker	bwn	Bone Wand	7	11	15	blac	blac						5	5000	2	nec		1	1	mana		33	33																																					dmg-norm		8	20																														0
Cryptshroud Armor	137	Cryptwalker	qui	Quilted Armor	7	11	11	blac	blac						5	5000	2	red-dmg%		10	10	gethit-skill	44	15	2																													ac		77	77					regen-mana		40	40																														0
Girdle of the Dead	138	Cryptwalker	mbl	Belt	7	11	9	blac	blac						5	5000	2	hp		20	25	balance1		15	15																													ac		20	20																																						0
Orb of Elemental Wrath	139	Elemental Dominion	ob2	Sacred Globe	7	15	15								5	5000	2	sor		1	1	mana-kill		2	4																													skilltab	5	1	1					skilltab	4	1	1					skilltab	3	1	1																						0
Elemental Breastplate	140	Elemental Dominion	ltp	Light Plate	7	20	21								5	5000	2	ac%		75	105	res-all		20	20																													dmg-to-mana		10	10					mana/lvl	8																																0
Guardian's Large Shield	141	Elemental Dominion	lrg	Large Shield	7	12	14								5	5000	2	ac		20	30	block		15	25																													block1		15	15					res-cold		20	20					res-ltng		20	20																						0
Steps of the Mystic	142	Elemental Dominion	lbt	Boots	7	9	9								5	5000	2	move2		20	20	balance2		20	20																													res-fire		20	20					res-pois		20	20																														0
Heartwood Bow	143	Elven Grace	am1	Stag Bow	7	15	15	dred	dred						5	5000	2	dmg-norm		15	30	openwounds		35	55																																													swing2		25	25																						0
Elven Soul Choker	144	Elven Grace	amu	Amulet	5	12	12								5	5000	2	allskills		1	1																																									res-all		12	12																														0
Elven Scale Mail	145	Elven Grace	scl	Scale Mail	7	16	14	dgld	dgld						5	5000	2	ac		30	40	dex		15	15																													red-dmg		12	12					red-mag		8	8					lifesteal		5	5																						0
Light of Elune	146	Elven Grace	vbl	Light Belt	7	8	10	oran	oran						5	5000	2	hp%		5	10	mana		5	10																													vit		10	10																																						0
Wing of the Greyhawk	151	Greyhawk's Legacy	plt	Plate Mail	7	17	19								5	5000	2	ac		75	100	res-ltng		15	20																																													regen		3	3																						0
Greyhawk's Frostbrand	152	Greyhawk's Legacy	scp	Scepter	7	17	14								5	5000	2	dmg%		80	120	dmg-cold	100	10	20																																					gethit-skill	40	15	3																														0
Greyhawk's Bulwark	153	Greyhawk's Legacy	pa3	Heraldic Shield	7	17	15								5	5000	2	sock		1	4	block		15	15																																					block3		25	25																														0
Greyhawk's Helm	154	Greyhawk's Legacy	fhl	Full Helm	7	17	13								5	5000	2	ac		20	30	manasteal		3	5																																					hp		20	20																														0
Dragonbone Barrier	155	Silent Predators	bsh	Bone Shield	7	14	18	dblu	dblu						5	5000	2	ac%		65	90	red-dmg%		5	10																													block		20	20																																						0
Ferocious Grip	156	Silent Predators	vgl	Heavy Gloves	7	12	14	whit	whit						5	5000	2	swing2		20	20	lifesteal		4	6																																					mag%		25	25																														0
Turtle's Fortitude	157	Silent Predators	ful	Full Plate Mail	7	22	23	dgrn	dgrn						5	5000	2	ac%		90	130	balance2		20	20																																					red-dmg%		8	8																														0
Wolfhide Belt	158	Silent Predators	tbl	Heavy Belt	7	14	14	dgld	dgld						5	5000	2	hp		35	50	res-all		10	15																																					ac		20	20																														0
Collar of the Beast	159	Silent Predators	bhm	Bone Helm	7	15	15								5	5000	2	dmg%		20	30	dmg-mag		20	30																																																																						0
Circlet of the Snowmane	160	Winter's Embrace	ci0	Circlet	7	22	22								5	5000	2	str		15	15	vit		15	15																													hp		20	20					balance1		15	15																														0
Belt of Glacial Might	161	Winter's Embrace	hbl	Plated Belt	7	22	22								5	5000	2	ac%		100	125	res-all		10	15																																													red-dmg%		10	10																						0
Ruby Ring of the Frost	162	Winter's Embrace	rin	Ring	4	22	22								5	5000	2	res-all		10	15	red-mag		6	8																																					hp		30	30					mag%		15	15																						0
Diamond Amulet of Frost	163	Winter's Embrace	amu	Amulet	4	22	22								5	5000	2	res-all		15	20	mag%		20	30																																					allskills		1	1																														0
Heart of the Winterborn	164	Cycle of Seasons	aar	Ancient Armor	7	20	25	whit	whit						5	5000	2	pierce-cold		10	15	extra-cold		10	15																													abs-cold%		10	10					res-cold-max		10	10					nofreeze		1	1																						0
Helm of the Spring Dawn	165	Cycle of Seasons	ghm	Great Helm	7	20	22	cblu	cblu						5	5000	2	pierce-ltng		10	15	extra-ltng		10	15																													abs-ltng%		10	10					res-ltng-max		10	10																														0
Summer Inferno Greaves	166	Cycle of Seasons	hbt	Greaves	7	20	21	dred	dred						5	5000	2	pierce-fire		10	15	extra-fire		10	15																													abs-fire%		10	10					res-fire-max		10	10																														0
Gauntlets of Autumn's End	167	Cycle of Seasons	tgl	Light Gauntlets	7	20	19	oran	oran						5	5000	2	pierce-pois		10	15	extra-pois		10	15																													res-mag		10	10					res-pois-max		10	10					res-pois-len		75	75																						0
Fernandez' Warplate	168	Relics of the Forgotten	brs	Breast Plate	7	15	15								5	5000	2	ac%		75	120	sock		3	3																																																	res-mag		10	10									red-dmg%		15	15						0
Katriana's Shadow Mask	169	Relics of the Forgotten	msk	Mask	7	15	15								5	5000	2	ac%		60	100	sock		3	3																													mana		30	30																					regen-mana		50	50														0
Luther's Iron Cord	170	Relics of the Forgotten	tbl	Heavy Belt	7	10	10								5	5000	2	ac		20	30	regen		2	5																																					hp		50	50					manasteal		5	5																						0
Janis' Battle Gloves	171	Relics of the Forgotten	vgl	Heavy Gloves	7	10	10								5	5000	2	ac		20	30	swing2		20	20																																																	lifesteal		5	5									str		10	10						0
Xavier's March Greaves	172	Relics of the Forgotten	tbt	Light Plate Greaves	7	15	15								5	5000	2	ac%		80	110	move2		30	30																																					balance2		20	20													dex		10	10														0
Quincy's Spiked Barrier	173	Relics of the Forgotten	spk	Spike Shield	7	10	10								5	5000	2	ac%		100	135	sock		3	3																													block2		25	25													block		20	20																						0
Laz's Gauntlet of Power	174	Insight of the Zealous	xtg	Battle Gauntlets	7	30	33								5	5000	2	swing1		10	10	manasteal		4	6	res-fire		15	20	ac%		80	100																													str		15	15																														0
Laz's Shield of Prayer	175	Insight of the Zealous	pa8	Protector Shield	7	30	38								5	5000	2	block		20	30	block2		20	20	balance2		20	20	ac/lvl	8																																																																0
Laz's Holy Amulet	176	Insight of the Zealous	amu	Amulet	5	30	40								5	5000	2	pal		1	1	hp		25	50	res-ltng		25	50	res-pois-len		60	80																					mana		25	25																																						0
Laz's Wrathful Scepter	177	Insight of the Zealous	9sc	Rune Scepter	7	30	29								5	5000	2	dmg%		160	190	dmg-norm		20	40	pal		1	1	ignore-ac		1	1																																					dmg/lvl	8																								0
Laz's Faith Armor	178	Insight of the Zealous	xld	Sharktooth Armor	7	30	36								5	5000	2	ac%		100	200	red-dmg%		15	15	res-mag		15	20	regen-mana		50	50																																													regen		3	3														0
Underworld Hide	179	Hades' Dominion	xla	Demonhide Armor	7	30	34								5	5000	2	ac/lvl	32			skilltab	8	1	3	res-ltng		25	40																																									mana		50	50																						0
Dracolich Trophy	180	Hades' Dominion	ne8	Sexton Trophy	7	30	36								5	5000	2	block		20	30	ac/lvl	16			res-fire		25	40																																									red-dmg%		20	20																						0
Vampire's Eternal Crusade	181	Hades' Dominion	rin	Ring	5	30	39								5	5000	2	regen-mana		50	75	cast1		10	10	mana/lvl	8			res-all		8	15																																																														0
Stixian Boots	182	Hades' Dominion	xlb	Demonhide Boots	7	30	32								5	5000	2	ac/lvl	8			move3		30	30	res-cold		25	40																																																	nofreeze		1	1														0
Hades' Crown	183	Hades' Dominion	xrn	Grand Crown	7	30	41								5	5000	2	ac%		100	100	balance2		20	20	res-pois		25	40																																	gold%		100	100					mag%		35	35																						0
Secret Sage Helm	184	Darque's Mystique	ba9	Savage Helmet	7	35	40								5	5000	2	bar		1	1	hp		50	70	ac%		100	100																									dmg-max		15	15													swing1		15	15																						0
Fallen Angel's Guard	185	Darque's Mystique	xth	Embossed Armor	7	35	43								5	5000	2	ac%		180	220	res-all		20	30	sock		1	1																									dmg-demon		100	100																																						0
Savant's Blade of Fury	186	Darque's Mystique	9gd	Executionor Sword	7	35	42								5	5000	2	dmg%		220	300	indestruct		1	1																													swing3		40	40					dmg-norm		50	125					noheal		1	1																						0
Dawn's Sacred Blessing	187	Darque's Mystique	xts	Ancient Shield	7	35	41								5	5000	2	block		25	35	balance2		25	25	dmg%		35	50																																	block2		20	20																														0
Wolf's Cry Mail	188	Havoc's Call	xcl	Tigulated Mail	7	30	35	dred	dred						5	5000	2	charged	237	8	35	ac%/lvl	16			move2		20	20																																	dmg/lvl	8																																0
Moonlit Alpha Helm	189	Havoc's Call	dr6	Alpha Helm	7	30	33	dred	dred						5	5000	2	ac%		180	180	skilltab	16	2	3	sock		2	2	hp%		10	10																					mag%		25	25																																						0
Innocence's Torment Club	190	Havoc's Call	9m9	War Club	7	30	39	dred	dred						5	5000	2	dmg%		160	200	swing3		50	50	ease		-40	-40	att%		20	20																													res-all		35	35																														0
Beast's Embrace Sash	191	Havoc's Call	zlb	Demonhide Sash	7	30	32	dred	dred						5	5000	2	ac%		90	110	hp		30	40	res-all		10	15	cast2		20	20																																					mana		50	50																						0
Elven Step Boots	192	Hadriel's Enchantment	xvb	Sharkskin Boots	7	35	32								5	5000	2	ac%		120	150	dex		15	15	res-cold		20	30	dmg-max		5	10																					balance2		20	20																																						0
Woodland Guard Armor	193	Hadriel's Enchantment	xhn	Mesh Armor	7	35	35		dgrn						5	5000	2	ac%		100	120	sock		2	2	hp/lvl	8			res-pois-len		80	80																													swing1		15	15					hp		25	25																						0
Whispering Coronet	194	Hadriel's Enchantment	ci1	Coronet	7	35	40								5	5000	2	allskills		1	1	cast2		20	20	dmg-to-mana		22	22	manasteal		5	5																																																														0
Bond of the Guardian	195	Hadriel's Enchantment	rin	Ring	5	35	38								5	5000	2	str		10	10	lifesteal		6	6	mana		40	50	knock		2	2																																																														0
Maiden's Battle Bracers	196	Hadriel's Enchantment	xmg	Heavy Bracers	7	35	33		dgrn						5	5000	2	res-fire		30	40	res-ltng		30	40	res-pois		30	40	res-cold		30	40																																													swing2		20	20														0
Trent's Mystic Bow	197	Hadriel's Enchantment	am7	Ceremonial Bow	7	35	40		dgrn						5	5000	2	dmg%		170	210	swing2		20	20	sock		3	3																																																									dmg-elem	100	25	100						0
Trent's Seeing Eye	198	Celestial Refuge	ob8	Cloudy Sphere	7	32	33								5	5000	2	allskills		1	1	cast2		20	20	mana%		20	20																																																																		0
Fire's Command Armor	199	Celestial Refuge	xui	Ghost Armor	7	32	33	dred	dred						5	5000	2	ac%		100	120	extra-fire		10	20	pierce-fire		10	20	abs-fire%		10	20	res-fire		35	50																																	regen		5	5																						0
Ice's Wisdom Hat	200	Celestial Refuge	xap	War Hat	7	32	33	cblu	cblu						5	5000	2	ac%		100	120	extra-cold		10	20	pierce-cold		10	20	abs-cold%		10	20	res-cold		35	50																									half-freeze		1	1																														0
Lightning's Guard	201	Celestial Refuge	xuc	Defender	7	32	33	dyel	dyel						5	5000	2	ac%		100	120	extra-ltng		10	20	pierce-ltng		10	20	abs-ltng%		10	20	res-ltng		35	50																	block		20	20																																						0
Seraph's Fall	206	Celestial Descent	rin	Ring	3	45	45								5	5000	2	lifesteal		6	9	manasteal		4	7	hp		35	50	mana		60	80																																																														0
Tyrael's Lament	207	Celestial Descent	rin	Ring	3	45	45								5	5000	2	regen		3	5	regen-mana		45	70	cast2		20	20	mag%		25	35																																																														0
Forsaken Halo	208	Celestial Descent	amu	Amulet	3	45	45								5	5000	2	allskills		1	1	mag%		40	50	all-stats		10	10	res-all		15	25																																																														0
Infernal Embrace	209	Celestial Descent	xtp	Mage Plate	7	45	45	dred	dred						5	5000	2	ac%		160	200	sock		4	4																													gold%		100	100					mag%		50	50					allskills		1	1																						0
Phantom Knight's Guard	210	Volf's Phantom Brigade	xsh	Grim Shield	7	30	38	whit	whit						5	5000	2	ac%		125	155	red-dmg%		15	15	res-all		20	30	hp		-10	-10																					block		35	35																																						0
Wraithlord's Blade	211	Volf's Phantom Brigade	9bs	Battle Sword	7	30	37	whit	whit						5	5000	2	dmg%		160	220	dmg-norm		20	55	lifesteal		15	15																									swing1		20	20					cold-len	300							dmg-demon		100	100																						0
Lich's Skull	212	Volf's Phantom Brigade	xh9	Grim Helm	7	30	39	whit	whit						5	5000	2	mana		60	80	cast2		25	25	sock		1	1																																	str		15	15					sor		1	1																						0
Boneshatter Plate	213	Volf's Phantom Brigade	xlt	Templar Plate	7	30	42	whit	whit						5	5000	2	ac%		80	120	ac/lvl	16			balance2		25	25																																									nofreeze																									0
Lancer's Judgment	217	Salander's Wrath	9pa	Partizan	7	30	37	dgld	dgld						5	5000	2	dmg%		180	240	swing2		30	30	knock		12	12																									dmg-fire		75	120																																						0
Salander's Battle Mail	218	Salander's Wrath	xng	Linked Mail	7	30	35								5	5000	2	ac%		120	150	sock		1	1	balance2		25	25	res-all		15	15																					hp		35	35																																						0
Salander's Iron Visage	219	Salander's Wrath	xlm	Casque	7	30	34								5	5000	2	ac%		75	120	dmg-to-mana		10	10	mana-kill		3	3																									mana		35	35																																						0
Crimson Dragon Scale	220	Jerhyn's Dragonheart	xcl	Tigulated Mail	7	30	37	dred	cred						5	5000	2	ac/lvl	32			abs-fire%		35	35																													extra-fire		40	40																																						0
Black Dragon Guardian	221	Jerhyn's Dragonheart	xit	Dragon Shield	7	30	37	blac	blac						5	5000	2	res-all		60	60	ac%		100	100																													block		20	20					block2		30	30																														0
Emerald Dragon Visage	222	Jerhyn's Dragonheart	xhm	Winged Helm	7	30	40	dgrn	dgrn						5	5000	2	res-pois		50	50	res-pois-len		60	90	ac%		100	125	red-dmg		20	25																													red-mag		20	20																														0
Starfall Sabatons	223	Onyx's Cosmic Fury	uhb	Myrmidon Greaves	7	60	77	oran	oran						5	5000	2	ac%		170	200	res-ltng		25	35	move2		25	25	balance2		20	20																					red-dmg		15	15					red-mag		15	15					str		30	30																						0
Solar Flare Blade	224	Onyx's Cosmic Fury	7b7	Champion Sword	7	60	69	cred	cred						5	5000	2	dmg%		200	300	dmg-norm		75	200	thorns/lvl	16			dmg-to-mana		10	10																					manasteal		7	7					lifesteal		12	12					swing3		40	40																						0
Supernova Edge	225	Onyx's Cosmic Fury	7gs	Balrog Blade	7	60	75	whit	whit						5	5000	2	dmg%		200	300	dmg/lvl	24			swing3		30	30	sock		2	2																													hp		50	50																														0
Meteoric Hide	226	Onyx's Cosmic Fury	upl	Balrog Skin	7	60	80	cblu	cblu						5	5000	2	ac%		160	200	balance3		40	40	hp%		10	15	mana%		10	15																					bar		1	1																																						0
Celestial Crown	227	Onyx's Cosmic Fury	baf	Guardian Crown	7	60	79								5	5000	2	bar		2	2	red-dmg%		15	20	all-stats		15	25																									addxp		3	3					swing2		20	20					att/lvl	32																								0
Enigma's Crown	233	The Arcane Spin	ci2	Tiara	7	60	59	dgld							5	5000	2	allskills		1	1																																	res-all		15	15					res-all		15	15	ac/lvl	12			gold%		100	100	mag%		25	25	mana/lvl	8			hp/lvl	10												0
Paradox Shell	234	The Arcane Spin	ula	Scarab Husk	7	60	68	dgld							5	5000	2	allskills		2	2																																	red-dmg%		15	15					ac%		120	120					res-all		15	15	res-mag		15	15	balance2		20	20	cast2		20	20										0
Spin's Secret Sash	235	The Arcane Spin	ulc	Spiderweb Sash	7	60	63	dgld							5	5000	2	allskills		1	1																																	abs-cold%		10	10					abs-ltng%		10	10					abs-fire%		10	10	mag%		25	25	res-pois-len		50	50	res-all		10	10										0
Conundrum Shield	236	The Arcane Spin	uow	Aegis	7	60	84	dgld							5	5000	2	ease		-80	-80																																	block		40	40					block2		40	40					regen		15	15	regen-mana		75	75	red-dmg%		15	15	ac%		110	110										0
Orb of Mysteries	237	The Arcane Spin	obc	Eldritch Orb	7	60	70	dgld							5	5000	2	allskills		2	2																																	extra-fire		10	10	res-fire		25	25	extra-cold		10	10	res-cold		25	25	extra-ltng		10	10	res-ltng		25	25																		0
Shadowweave	238	Darkmage's Shadowform	uhn	Boneweave	7	60	73	cblu	cblu						5	5000	2	ac%		150	180	sock		1	1	ethereal		1	1	indestruct		1	1																					red-dmg%		15	15													res-all		15	15																						0
Vambrace of the Void	239	Darkmage's Shadowform	umg	Vambraces	7	60	70	oran	oran						5	5000	2	ac%		125	150	swing3		30	30	ethereal		1	1	indestruct		1	1																													dex		25	25					str		25	25																						0
Phantomstride Boots	240	Darkmage's Shadowform	umb	Boneweave Boots	7	60	74	cred	cred						5	5000	2	ac%		140	170	move3		30	30	ethereal		1	1	indestruct		1	1																					lifesteal		6	6													manasteal		6	6					gethit-skill	48	20	14														0
Star of the Abyss	241	Darkmage's Shadowform	7mt	Devil Star	7	60	69	whit	whit						5	5000	2	dmg%		220	280	swing2		25	25	ethereal		1	1	indestruct		1	1																													allskills		1	1													crush		25	25														0
Celestial Aether	242	Darkmage's Shadowform	dre	Sky Spirit	7	60	80	dyel	dyel						5	5000	2	ac%		190	220	balance2		20	20	ethereal		1	1	indestruct		1	1																													dru		2	2					hp		135	135					mana		75	75														0
Soulstone's Might	248	Chaos Infusion	amu	Amulet	2	60	72								5	5000	2	allskills		2	2	cast2		35	35	regen-mana		75	75	red-dmg%		10	10																													res-all		23	23					mag%		35	35																						0
Focus of the Tempest	249	Chaos Infusion	ukp	Hydroskull	7	60	69	cblu	cblu						5	5000	2	ac%		120	165	balance2		20	20	allskills		1	1	mana-kill		4	8																					mana		50	50																					dmg-to-mana		22	22														0
Chaotic Aegis	250	Chaos Infusion	nef	Bloodlord Skull	7	60	83								5	5000	2	nec		3	3	gethit-skill	38	44	17	block		20	40	block2		30	30																													res-all		22	22													mana		55	55														0
Energy Striders	251	Chaos Infusion	uvb	Scarabshell Boots	7	60	74	cred	cred						5	5000	2	ac%		100	100	enr/lvl	6			manasteal		3	6	dmg-mag		122	122																					move3		30	30					mag%		25	25					swing2		20	20																						0
Band of the Arcanist	252	Chaos Infusion	urs	Great Hauberk	7	60	77								5	5000	2	cast3		40	40	allskills		1	1	regen		7	9	hp%		20	20																					hp		85	85													mana		77	77					res-mag		20	20														0
Chiad's Spearhead	253	Aiel's Valor	amf	Matriarchal Javelins	7	60	80	dgld	dgld						5	5000	2	dmg%		220	250	dmg-norm		35	70	skilltab	2	1	3	pierce		33	33																					swing2		20	20					ama		2	2																														0
Chiad's Bulwark	254	Aiel's Valor	uit	Monarch	7	60	73	dgrn	dgrn						5	5000	2	ac%		180	220	ease		-40	-40	block		33	33	block3		30	30																													red-dmg%		20	20					res-all		25	25																						0
Chiad's Heartguard	255	Aiel's Valor	ucl	Loricated Mail	7	60	75	dgrn	dgrn						5	5000	2	ac%		175	200	ease		-35	-35	dex		35	35	dmg-throw		20	50																																					hp		75	75					mana		75	75														0
Chiad's Glory	256	Aiel's Valor	rin	Ring	2	60	71								5	5000	2	swing2		20	20	lifesteal		8	12	manasteal		6	8																									mag%		20	20					hp		35	35																														0
Chiad's Resolve	257	Aiel's Valor	ulc	Spiderweb Sash	7	60	74	lgrn	lgrn						5	5000	2	ac%		160	200	fade		1	1	all-stats		15	15	pierce-ltng		15	15																													extra-ltng		25	25					heal-kill		15	15																						0
Reaper's Harvest	262	Path of Nefarius	7s8	Thresher	7	60	80	dgrn	dgrn						5	5000	2	dmg%		400	500	ease		20	20	swing3		40	40																									mag%/lvl	16							gold%/lvl	32																																0
Wicked Impulse Plate	263	Path of Nefarius	ult	Hellforged Plate	7	60	75	cblu	cblu						5	5000	2	ac%		125	175	balance3		40	40	dmg%		100	160	swing3		30	30																																																														0
Infamy's Reflection	264	Path of Nefarius	utb	Mirrored Boots	7	60	76	blac	blac						5	5000	2	ac		200	250	move3		50	50	lifesteal		7	7	dex		15	25																													mag%		30	30																														0
Whisper of Corruption	265	Path of Nefarius	usk	Demonhead	7	60	70								5	5000	2	hp		150	200	mana		75	100	allskills		1	2	heal-kill		15	25																					mana-kill		7	7																																						0
Fractured Heart Plate	270	The Dark Weave	uth	Lacquered Plate	7	60	76	dred	dred						5	5000	2	ac%		170	200	sock		4	4																													balance3		50	50																																						0
Soulcleaver Blade	271	The Dark Weave	7cr	Phase Blade	7	60	77	dred	dred						5	5000	2	dmg%		220	300	sock		6	6																													dmg/lvl	8																																								0
Hatred's Shield	272	The Dark Weave	ush	Troll Nest	7	60	78	oran	oran						5	5000	2	ac%		170	210	block		30	50	sock		3	3																									block3		50	50																																						0
Sovereign's Girdle	280	Monarch's Dominion	ztb	Battle Belt	7	35	25	lblu	lblu						5	5000	2	mag%		30	30	light		2	2	ac		25	35	swing1		10	10	ac%		40	60	gold%		50	80																																																						0
Monarch's March	281	Monarch's Dominion	xtb	Battle Boots	7	35	42								5	5000	2	vit		10	10	str		10	10	mag%		30	50	dur		30	30	move2		25	25	ac%		150	190	dmg-norm		15	25	thorns		5	10	stamdrain		40	40																																										0
Regal Russet Plate	282	Monarch's Dominion	xpl	Russet Armor	7	35	42								5	5000	2	allskills		1	1	mag%/lvl	10			ac%		160	200	dur		60	60	red-mag		10	10	rep-dur	20															vit		10	10					enr		10	10																														0
Royal Decree Ring	283	Monarch's Dominion	rin	Ring	4	7	7	dpur							5	5000	2	red-mag		3	3	thorns		3	7	att		50	80	mag%		10	15																																					mag%		15	15					hp		44	44														0
Crown of Dominion	284	Monarch's Dominion	uap	Shako	7	60	61	cgrn	cgrn						5	5000	2	all-stats		2	2	mana/lvl	12			hp/lvl	12			allskills		2	2	mag%		50	50	red-dmg%		10	10																																																						0
King's Edge	285	Monarch's Dominion	9fc	Tulwar	7	35	35	cred	cred						5	5000	2	sock		2	2	gold%/lvl	20			mag%/lvl	8			mana		15	15	dmg%		60	120	dex		5	15																																													dmg-norm		50	120						0
Dusk Mantle of Secrecy	286	Char's Twilight Path	uui	Dusk Shroud	7	60	65								5	5000	2	ac%		65	110	sock		1	1	res-all		15	25	red-dmg%		10	15																													allskills		1	1																														0
Forbidden Hatred	291	Zhoulomcrist's Curse	xap	War Hat	7	25	31	dred	dred						5	5000	2	mana		35	50	cast1		15	15	dmg-to-mana		12	15																																	dmg-cold	250	25	35					mana		25	25																						0
Wish of the Abyss	292	Zhoulomcrist's Curse	72a	Ettin Axe	7	60	70	blac	blac						5	5000	2	dmg%		220	260	swing2		20	20	knock		1	1	charged	79	65	15																																					kill-skill	life tap	20	15																						0
Shadowguard Plate	293	Zhoulomcrist's Curse	utp	Archon Plate	7	60	74	lgry	lgry						5	5000	2	balance2		30	30	addxp		1	5	allskills		1	1	ac%		175	195																													red-dmg		20	20					red-mag		25	25																						0
Coil of the Damned	294	Zhoulomcrist's Curse	rin	Ring	3	40	50								5	5000	2	hp		35	50	cast1		10	10	ac		80	120	att%		10	20																																					freeze		2	2																						0
Bloodlord's Grasp	295	Blood Warlord's Arsenal	hgl	Gauntlets	7	28	29	dred	dred						5	5000	2	swing2		20	20	dmg%		30	50																													deadly		15	15					crush		15	15					att%		20	20					red-dmg%		10	10					ac		250	250						0
Infernal March	296	Blood Warlord's Arsenal	hbt	Greaves	7	28	31	dred	dred						5	5000	2	move2		30	30	gethit-skill	82	18	1																													res-all		10	10					dmg-norm		10	20					res-mag		10	10					thorns/lvl	12							ac		313	313						0
